id_source,id_target,distance
364,361,6013
364,368,8569
364,457,11650
364,460,5563
364,532,7075
364,533,6820
365,476,10412
366,115,8153
366,171,5912
366,231,9132
366,271,12295
366,495,10960
367,196,12007
367,574,10625
368,345,7500
368,358,6597
368,359,7137
368,361,2593
368,364,8569
368,457,9357
368,459,12960
368,460,3384
369,495,9180
369,570,5436
369,648,7057
370,181,5804
370,231,11493
370,238,3960
370,476,5885
371,42,8903
371,582,7446
371,583,8007
371,584,11036
372,150,12754
373,73,4193
373,128,6886
373,149,7465
373,150,8501
374,12,9178
374,14,12049
374,47,6817
374,77,11364
374,498,6908
374,515,10111
374,665,11704
376,37,11339
376,41,7944
376,531,12343
376,653,11930
377,63,6672
378,9,6685
378,51,4494
378,156,9508
378,420,5186
378,672,11454
379,10,10175
379,43,12930
379,226,11057
379,400,10202
381,35,6633
381,74,8639
381,278,3941
381,308,5155
381,334,3647
381,348,9228
381,436,6143
381,511,9364
381,548,6652
381,672,10307
382,76,7973
382,277,3691
382,279,3449
382,281,3942
382,288,2048
383,384,5910
384,383,5910
385,58,6454
385,292,12902
385,401,11426
385,605,12495
386,391,9379
386,487,4980
388,45,6026
389,257,10547
391,290,10090
391,386,9379
391,487,4462
393,46,9676
393,75,6800
393,88,6626
393,89,3717
393,91,11763
393,92,2651
393,194,11868
393,297,8132
393,347,12526
393,654,5639
393,655,6218
395,160,5223
395,497,12491
396,267,6077
397,13,4746
397,229,10295
397,405,4124
397,615,6963
398,21,11875
398,26,12688
398,45,10127
398,250,9930
399,8,8277
399,20,5881
399,197,6747
399,404,6840
399,419,12783
400,43,3036
400,379,10202
401,58,6489
401,133,12368
401,292,12942
401,385,11426
401,485,5731
401,605,5873
402,410,5454
402,504,6532
404,20,10486
404,197,12452
404,351,6711
404,399,6840
404,614,8772
405,13,5798
405,397,4124
405,486,12125
405,615,5744
407,57,7704
407,130,9421
408,342,12125
408,356,8550
408,650,3783
409,147,11987
409,428,10085
410,402,5454
410,504,11065
410,577,11215
411,434,12997
412,188,9111
413,10,8833
413,53,2970
413,473,2980
413,668,2946
415,205,11586
416,336,8990
416,509,10350
417,304,6290
417,326,7611
417,350,5368
418,449,12986
418,450,11226
419,8,5578
419,20,7152
419,399,12783
419,482,8696
419,516,9348
420,9,7867
420,51,9474
420,156,5905
420,208,11049
420,378,5186
420,549,10154
424,353,8571
428,409,10085
434,411,12997
435,36,11202
435,481,6811
435,482,10714
436,35,8697
436,74,10063
436,226,12347
436,278,7178
436,308,3564
436,334,9614
436,381,6143
436,511,12984
436,548,5650
437,72,10409
437,82,12058
437,354,9937
438,189,5833
438,439,25
439,189,5816
439,438,25
442,564,9435
442,644,10114
442,645,6334
442,646,7450
444,4,11767
444,664,3860
445,9,9376
445,208,8728
446,1,11528
446,14,11537
